Date of Trade,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date,unadjusted_quantity,unadjusted_price,split_adjustment_factor
 03/29/2022, YOU SOLD SHORT SALE PROSHARES TR II ULTRA BLOOMBERG 1 FO... (74347Y870) (Short),BOIL, PROSHARES TR II ULTRA BLOOMBERG 1 FOR 2,Short,-1.7400000000000004,5167.999999999999,,0.05,,8992.5,97500.0,3/31/2022,-174,51.68,0.01
 03/29/2022, YOU SOLD SHORT SALE PROSHARES TR II ULSHT BLOOMB GAS 1 F... (74347Y821) (Short),KOLD, PROSHARES TR II ULSHT BLOOMB GAS 1 FOR ,Short,-140.0,35.68,,0.03,,4995.81,97500.0,3/31/2022,-280,17.84,0.5
 03/29/2022, YOU SOLD SHORT SALE DIREXION SHS ETF TR DAILY JR GLD MIN... (JNUG) (Short),JNUG, DIREXION SHS ETF TR DAILY JR GLD MIN IN,Short,-78.0,76.56,,0.04,,5971.64,97500.0,3/31/2022,-78,76.56,1.0
 03/29/2022, YOU SOLD SHORT SALE DIREXION SHS ETF TR DLY JR GOLD 2X 1... (25460G807) (Short),JDST, DIREXION SHS ETF TR DLY JR GOLD 2X 1 FO,Short,-64.5,77.19999999999999,,0.03,,4979.5,97500.0,3/31/2022,-645,7.72,0.1
 03/29/2022, YOU SOLD SHORT SALE DIREXION SHS ETF TR DLY SEMICNDTR BR... (25460G336) (Short),SOXS, DIREXION SHS ETF TR DLY SEMICNDTR BR 1 ,Short,-20.8,336.1,,0.04,,6990.86,97500.0,3/31/2022,-208,33.61,0.1
 03/29/2022, YOU SOLD SHORT SALE DIREXION DAILY SEMICONDUCTOR BULL 3X... (SOXL) (Short),SOXL, DIREXION DAILY SEMICONDUCTOR BULL 3X SH,Short,-114.0,43.69,,0.03,,4980.63,97500.0,3/31/2022,-114,43.69,1.0
 03/29/2022, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (063679872) (Short),FNGU, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-0.1,256.4,,0.01,,25.63,97500.0,3/31/2022,-1,25.64,0.1
 03/29/2022, YOU SOLD SHORT SALE BANK OF MONTREAL MICROSECTORS US BIG... (BNKU) (Short),BNKU, BANK OF MONTREAL MICROSECTORS US BIG 0.,Short,-1.0,49.28,,0.01,,49.27,97500.0,3/31/2022,-1,49.28,1.0
 03/29/2022, YOU SOLD SHORT SALE BANK OF MONTREAL CALLABLE PUTABLE 0.... (063679658) (Short),GDXU, BANK OF MONTREAL CALLABLE PUTABLE 0.000,Short,-0.1,158.39999999999998,,0.01,,15.83,97500.0,3/31/2022,-1,15.84,0.1
 03/29/2022, YOU SOLD SHORT SALE MICROSECTORS GOLD MINERS 3X INVERSE ... (063679641) (Short),SHNY, MICROSECTORS GOLD MINERS 3X INVERSE 0.0,Short,-1.0,9.18,,0.01,,9.17,97500.0,3/31/2022,-1,9.18,1.0
